node,class,total_occurrences,num_articles,articles
ridged facies distribution,OTHER,261,34,"9781565762879_ch03.json(17); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(6); 1-s2.0-S0264817216304585-main.json(3); Giacomo Dalla Valle.json(7); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(10); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(12); Bull & Cartwright (2009).json(9); Dos-Reis-et-al-2016-MPG.json(7); D. Leynaud.json(7); 1-s2.0-S0025322713000571-main.json(4); Moscardelli_and_Wood_2008.json(19); Wei Li a,⁎, Tiago M. Alves.json(11); 9781565762879_ch02.json(9); J. S. Laberg.json(12); 3-s2.0-B9780128130810007047-main.json(6); Submarine_Mass_Movements_on_Continental.json(17); 1-s2.0-S0040195109002819-main.json(11); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(12); Simon E. Lee.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); lacoste-et-al.json(4); Alves_AAPG_MTDs_14.json(11); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(5); Elverhoi, A., Breien.json(4); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(8); S. Lafuerza, N. Sultan.json(6); Ian R. Clark, Joseph A. Cartwright.json(12); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(4); 1-s2.0-S0025322712000412-main.json(4); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); RichardsonetalBasinResearch2011-online (1).json(5); 1-s2.0-S0191814106000101-main.json(2); 845.json(5)"
multiple terracing downslope,LOCATION,242,35,"J. S. Laberg.json(5); D. Leynaud.json(10); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(12); lacoste-et-al.json(4); Submarine_Mass_Movements_on_Continental.json(27); 9781565762879_ch03.json(14); Bull & Cartwright (2009).json(8); 1-s2.0-S0025322712000412-main.json(3); Elverhoi, A., Breien.json(8); JFM_709_2012.json(6); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(14); Wei Li a,⁎, Tiago M. Alves.json(8); Giacomo Dalla Valle.json(6); Ian R. Clark, Joseph A. Cartwright.json(7); 1-s2.0-S0264817216304585-main.json(8); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(5); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(5); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(8); Dos-Reis-et-al-2016-MPG.json(4); Alves_AAPG_MTDs_14.json(5); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); 1-s2.0-S0025322713000571-main.json(3); Moscardelli_and_Wood_2008.json(9); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(9); 9781565762879_ch02.json(7); RichardsonetalBasinResearch2011-online (1).json(9); 845.json(7); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(6); Simon E. Lee.json(8); 1-s2.0-S0040195109002819-main.json(6); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(2); 1-s2.0-S0191814106000101-main.json(1); S. Lafuerza, N. Sultan.json(2); 3-s2.0-B9780128130810007047-main.json(2)"
plunging pool indicator,OTHER,236,36,"Ian R. Clark, Joseph A. Cartwright.json(8); 9781565762879_ch03.json(12); Giacomo Dalla Valle.json(4); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(3); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(4); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(16); Bull & Cartwright (2009).json(16); 386816a0.json(4); D. Leynaud.json(20); Moscardelli_and_Wood_2008.json(10); 1-s2.0-S0025322712000412-main.json(3); Wei Li a,⁎, Tiago M. Alves.json(5); 9781565762879_ch02.json(9); J. S. Laberg.json(4); 3-s2.0-B9780128130810007047-main.json(3); Submarine_Mass_Movements_on_Continental.json(17); Elverhoi, A., Breien.json(6); S. Lafuerza, N. Sultan.json(3); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(7); Simon E. Lee.json(23); 1-s2.0-S0264817216304585-main.json(8); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); 1-s2.0-S0025322713000571-main.json(4); RichardsonetalBasinResearch2011-online (1).json(4); 1-s2.0-S0040195109002819-main.json(5); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(4); Alves_AAPG_MTDs_14.json(5); JFM_709_2012.json(4); Dos-Reis-et-al-2016-MPG.json(3); epjbidisperse2007.json(4); lacoste-et-al.json(1); 845.json(4); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(5); 1-s2.0-S0191814106000101-main.json(3); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1)"
grains heterogeneity in flowing mass,PROCESS,234,35,"9781565762879_ch02.json(12); J. S. Laberg.json(11); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(6); RichardsonetalBasinResearch2011-online (1).json(9); D. Leynaud.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(5); Submarine_Mass_Movements_on_Continental.json(19); Elverhoi, A., Breien.json(22); 1-s2.0-S0264817216304585-main.json(13); S. Lafuerza, N. Sultan.json(8); Giacomo Dalla Valle.json(3); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(15); epjbidisperse2007.json(5); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); lacoste-et-al.json(6); 9781565762879_ch03.json(6); Moscardelli_and_Wood_2008.json(9); JFM_709_2012.json(9); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(5); 845.json(6); 3-s2.0-B9780128130810007047-main.json(5); 1-s2.0-S0025322713000571-main.json(5); 1-s2.0-S0191814106000101-main.json(9); Simon E. Lee.json(3); 1-s2.0-S0025322712000412-main.json(5); 1-s2.0-S0040195109002819-main.json(9); Ian R. Clark, Joseph A. Cartwright.json(1); Wei Li a,⁎, Tiago M. Alves.json(4); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); Bull & Cartwright (2009).json(5); 386816a0.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(4); Dos-Reis-et-al-2016-MPG.json(4); Alves_AAPG_MTDs_14.json(2)"
horizontal aspect ratio,OTHER,224,31,"J. S. Laberg.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(9); lacoste-et-al.json(7); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(5); 1-s2.0-S0025322713000571-main.json(10); Bull & Cartwright (2009).json(6); Submarine_Mass_Movements_on_Continental.json(17); 1-s2.0-S0191814106000101-main.json(13); Dos-Reis-et-al-2016-MPG.json(2); Giacomo Dalla Valle.json(2); 9781565762879_ch02.json(4); epjbidisperse2007.json(10); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(18); 1-s2.0-S0040195109002819-main.json(7); JFM_709_2012.json(17); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(11); Simon E. Lee.json(11); RichardsonetalBasinResearch2011-online (1).json(2); 845.json(2); Alves_AAPG_MTDs_14.json(3); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1); 1-s2.0-S0025322712000412-main.json(12); Elverhoi, A., Breien.json(13); D. Leynaud.json(5); Moscardelli_and_Wood_2008.json(4); S. Lafuerza, N. Sultan.json(11); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(7); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(3); Wei Li a,⁎, Tiago M. Alves.json(1); Ian R. Clark, Joseph A. Cartwright.json(1)"
trigger turbidity current at stop,OTHER,221,36,"J. S. Laberg.json(5); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(7); lacoste-et-al.json(12); Submarine_Mass_Movements_on_Continental.json(10); 1-s2.0-S0191814106000101-main.json(11); Dos-Reis-et-al-2016-MPG.json(7); Alves_AAPG_MTDs_14.json(13); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); Moscardelli_and_Wood_2008.json(6); 1-s2.0-S0025322712000412-main.json(3); 1-s2.0-S0040195109002819-main.json(17); JFM_709_2012.json(6); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(10); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(15); 9781565762879_ch02.json(6); epjbidisperse2007.json(8); Elverhoi, A., Breien.json(9); Wei Li a,⁎, Tiago M. Alves.json(7); Giacomo Dalla Valle.json(1); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(8); 1-s2.0-S0264817216304585-main.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(9); 1-s2.0-S0025322713000571-main.json(3); D. Leynaud.json(8); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); RichardsonetalBasinResearch2011-online (1).json(3); 9781565762879_ch03.json(5); 845.json(2); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(3); S. Lafuerza, N. Sultan.json(3); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(2); Bull & Cartwright (2009).json(3); 3-s2.0-B9780128130810007047-main.json(6); Ian R. Clark, Joseph A. Cartwright.json(3); Simon E. Lee.json(1); 386816a0.json(1)"
remobilization,OTHER,217,32,"Ian R. Clark, Joseph A. Cartwright.json(8); J. S. Laberg.json(6); Submarine_Mass_Movements_on_Continental.json(16); 9781565762879_ch03.json(9); Bull & Cartwright (2009).json(12); Moscardelli_and_Wood_2008.json(10); 1-s2.0-S0040195109002819-main.json(9); Dos-Reis-et-al-2016-MPG.json(17); 9781565762879_ch02.json(6); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); RichardsonetalBasinResearch2011-online (1).json(10); D. Leynaud.json(7); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(11); 1-s2.0-S0191814106000101-main.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(7); S. Lafuerza, N. Sultan.json(6); Wei Li a,⁎, Tiago M. Alves.json(7); Alves_AAPG_MTDs_14.json(6); Giacomo Dalla Valle.json(7); Simon E. Lee.json(10); 1-s2.0-S0025322713000571-main.json(10); 845.json(6); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(7); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(9); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); 1-s2.0-S0025322712000412-main.json(2); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); JFM_709_2012.json(2); epjbidisperse2007.json(3); 386816a0.json(2); Elverhoi, A., Breien.json(1)"
compaction during burial,OTHER,214,36,"9781565762879_ch02.json(11); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(6); epjbidisperse2007.json(5); Ian R. Clark, Joseph A. Cartwright.json(3); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(2); Submarine_Mass_Movements_on_Continental.json(28); 9781565762879_ch03.json(4); Bull & Cartwright (2009).json(8); 1-s2.0-S0025322712000412-main.json(11); Elverhoi, A., Breien.json(13); S. Lafuerza, N. Sultan.json(16); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); D. Leynaud.json(9); 1-s2.0-S0025322713000571-main.json(2); 1-s2.0-S0040195109002819-main.json(7); JFM_709_2012.json(4); 1-s2.0-S0191814106000101-main.json(8); Dos-Reis-et-al-2016-MPG.json(7); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(6); Wei Li a,⁎, Tiago M. Alves.json(2); Giacomo Dalla Valle.json(6); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(9); J. S. Laberg.json(3); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(5); Moscardelli_and_Wood_2008.json(5); Alves_AAPG_MTDs_14.json(5); 386816a0.json(3); Simon E. Lee.json(2); 1-s2.0-S0264817216304585-main.json(5); RichardsonetalBasinResearch2011-online (1).json(5); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); 3-s2.0-B9780128130810007047-main.json(2); lacoste-et-al.json(3); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(1)"
modifying basin geomorphology,LOCATION,213,35,"epjbidisperse2007.json(1); J. S. Laberg.json(2); RichardsonetalBasinResearch2011-online (1).json(4); D. Leynaud.json(8); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(6); Submarine_Mass_Movements_on_Continental.json(14); 1-s2.0-S0025322713000571-main.json(9); 9781565762879_ch03.json(15); Bull & Cartwright (2009).json(7); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(9); Moscardelli_and_Wood_2008.json(10); 1-s2.0-S0191814106000101-main.json(11); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(14); Simon E. Lee.json(1); Ian R. Clark, Joseph A. Cartwright.json(4); 1-s2.0-S0264817216304585-main.json(8); Giacomo Dalla Valle.json(11); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); lacoste-et-al.json(4); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(4); Dos-Reis-et-al-2016-MPG.json(3); Alves_AAPG_MTDs_14.json(8); 1-s2.0-S0025322712000412-main.json(5); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(7); 9781565762879_ch02.json(11); 3-s2.0-B9780128130810007047-main.json(4); 1-s2.0-S0040195109002819-main.json(6); 845.json(11); Wei Li a,⁎, Tiago M. Alves.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(6); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); S. Lafuerza, N. Sultan.json(2); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); JFM_709_2012.json(1)"
lithology in transported mass,PROCESS,200,27,"9781565762879_ch02.json(24); J. S. Laberg.json(10); RichardsonetalBasinResearch2011-online (1).json(23); D. Leynaud.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(4); Elverhoi, A., Breien.json(5); S. Lafuerza, N. Sultan.json(4); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(11); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(8); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(9); 1-s2.0-S0025322713000571-main.json(6); 9781565762879_ch03.json(10); Moscardelli_and_Wood_2008.json(5); 1-s2.0-S0025322712000412-main.json(4); Submarine_Mass_Movements_on_Continental.json(13); Dos-Reis-et-al-2016-MPG.json(11); 1-s2.0-S0264817216304585-main.json(9); Wei Li a,⁎, Tiago M. Alves.json(3); 845.json(4); Bull & Cartwright (2009).json(2); Alves_AAPG_MTDs_14.json(8); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(8); Giacomo Dalla Valle.json(5); 3-s2.0-B9780128130810007047-main.json(2); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(4); Simon E. Lee.json(1)"
offshore events and waves,LOCATION,196,32,"9781565762879_ch02.json(6); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Ian R. Clark, Joseph A. Cartwright.json(13); 3-s2.0-B9780128130810007047-main.json(7); D. Leynaud.json(14); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(13); Submarine_Mass_Movements_on_Continental.json(20); Moscardelli_and_Wood_2008.json(9); 1-s2.0-S0025322712000412-main.json(5); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(16); Alves_AAPG_MTDs_14.json(3); Simon E. Lee.json(2); 9781565762879_ch03.json(11); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(2); JFM_709_2012.json(4); 1-s2.0-S0264817216304585-main.json(7); Giacomo Dalla Valle.json(4); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(4); Dos-Reis-et-al-2016-MPG.json(6); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(5); 1-s2.0-S0025322713000571-main.json(1); Wei Li a,⁎, Tiago M. Alves.json(4); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(4); J. S. Laberg.json(3); RichardsonetalBasinResearch2011-online (1).json(6); Elverhoi, A., Breien.json(5); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(7); S. Lafuerza, N. Sultan.json(6); Bull & Cartwright (2009).json(4); 1-s2.0-S0040195109002819-main.json(2); lacoste-et-al.json(1)"
lateral erosive walls,OTHER,179,33,"9781565762879_ch02.json(15); Ian R. Clark, Joseph A. Cartwright.json(4); J. S. Laberg.json(9); D. Leynaud.json(5); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(7); lacoste-et-al.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(10); Bull & Cartwright (2009).json(17); Moscardelli_and_Wood_2008.json(13); Wei Li a,⁎, Tiago M. Alves.json(6); Alves_AAPG_MTDs_14.json(4); 845.json(4); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(4); Simon E. Lee.json(2); RichardsonetalBasinResearch2011-online (1).json(9); 1-s2.0-S0025322713000571-main.json(5); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(5); Elverhoi, A., Breien.json(4); 1-s2.0-S0040195109002819-main.json(3); Submarine_Mass_Movements_on_Continental.json(3); 1-s2.0-S0264817216304585-main.json(7); 1-s2.0-S0191814106000101-main.json(5); 9781565762879_ch03.json(10); Giacomo Dalla Valle.json(3); 1-s2.0-S0025322712000412-main.json(3); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(5); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); Dos-Reis-et-al-2016-MPG.json(2); S. Lafuerza, N. Sultan.json(2); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); 3-s2.0-B9780128130810007047-main.json(2)"
bs median slope,LOCATION,179,36,"Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(7); Ian R. Clark, Joseph A. Cartwright.json(4); 3-s2.0-B9780128130810007047-main.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(12); Submarine_Mass_Movements_on_Continental.json(11); Bull & Cartwright (2009).json(6); 1-s2.0-S0025322712000412-main.json(3); Giacomo Dalla Valle.json(7); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(8); Simon E. Lee.json(18); 9781565762879_ch02.json(3); RichardsonetalBasinResearch2011-online (1).json(7); D. Leynaud.json(6); 1-s2.0-S0025322713000571-main.json(2); 9781565762879_ch03.json(3); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(15); 1-s2.0-S0191814106000101-main.json(7); Moscardelli_and_Wood_2008.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(8); 845.json(3); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(2); Elverhoi, A., Breien.json(3); epjbidisperse2007.json(3); Dos-Reis-et-al-2016-MPG.json(4); S. Lafuerza, N. Sultan.json(1); Wei Li a,⁎, Tiago M. Alves.json(6); JFM_709_2012.json(2); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(3); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); lacoste-et-al.json(2); Alves_AAPG_MTDs_14.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(7); 1-s2.0-S0264817216304585-main.json(2); 1-s2.0-S0040195109002819-main.json(1); 386816a0.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1)"
us ramps or ridges,FEATURE,175,32,"J. S. Laberg.json(4); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); D. Leynaud.json(5); Submarine_Mass_Movements_on_Continental.json(10); Bull & Cartwright (2009).json(10); Moscardelli_and_Wood_2008.json(9); 1-s2.0-S0040195109002819-main.json(1); S. Lafuerza, N. Sultan.json(2); 9781565762879_ch02.json(7); Ian R. Clark, Joseph A. Cartwright.json(5); lacoste-et-al.json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(11); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(5); Elverhoi, A., Breien.json(9); 1-s2.0-S0191814106000101-main.json(1); Wei Li a,⁎, Tiago M. Alves.json(5); Giacomo Dalla Valle.json(4); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(4); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(13); Simon E. Lee.json(7); 845.json(6); Alves_AAPG_MTDs_14.json(4); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(3); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(13); Dos-Reis-et-al-2016-MPG.json(5); 1-s2.0-S0025322713000571-main.json(3); 9781565762879_ch03.json(11); RichardsonetalBasinResearch2011-online (1).json(4); 1-s2.0-S0264817216304585-main.json(2); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(4); 3-s2.0-B9780128130810007047-main.json(2); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1)"
faulty facies distribution,OTHER,164,34,"Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(2); Ian R. Clark, Joseph A. Cartwright.json(4); 1-s2.0-S0025322712000412-main.json(8); Elverhoi, A., Breien.json(4); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(5); Dos-Reis-et-al-2016-MPG.json(11); 1-s2.0-S0264817216304585-main.json(6); 9781565762879_ch02.json(6); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(4); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(5); D. Leynaud.json(5); lacoste-et-al.json(4); Submarine_Mass_Movements_on_Continental.json(11); Bull & Cartwright (2009).json(5); 1-s2.0-S0040195109002819-main.json(4); 1-s2.0-S0191814106000101-main.json(4); Alves_AAPG_MTDs_14.json(7); Giacomo Dalla Valle.json(9); 9781565762879_ch03.json(5); Moscardelli_and_Wood_2008.json(8); 845.json(2); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(5); Wei Li a,⁎, Tiago M. Alves.json(3); epjbidisperse2007.json(3); 1-s2.0-S0025322713000571-main.json(3); RichardsonetalBasinResearch2011-online (1).json(6); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(9); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(2); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(2); S. Lafuerza, N. Sultan.json(3); JFM_709_2012.json(1); J. S. Laberg.json(3); Simon E. Lee.json(1)"
